logFC,logCPM,F,PValue,FDR,Gene,rank
5.32257443643473,4.18993640352825,108.301648364885,4.42663317360778e-16,5.29814699507981e-12,CXCL8,15.3539264656603
3.26949064790964,2.33500186880169,107.815206656416,6.45800462588958e-16,5.29814699507981e-12,ALDH1A2,15.1899016482322
5.62748132745858,4.68512581555632,102.213425209794,3.21147761996251e-15,1.75646415961149e-11,FCGR3B,14.4932951001361
2.58529393853301,2.41994778010568,91.4541615157693,3.31266585263244e-14,1.35885553274983e-10,C2CD4A,13.479822369031
4.15405177066565,3.29788926911504,87.0254864139381,5.1760177411287e-14,1.69856198192879e-10,CXCR2,13.286004243765
3.25462959392133,2.40989570997052,83.1268350578522,1.04086766014968e-13,2.84642609462266e-10,MYEOV,12.9826044848222
3.15377577213335,2.92408930133033,83.2526664961305,4.36227991639538e-13,9.39479505990807e-10,FCGR1A,12.360286470292
1.92140466878393,2.49350935917927,89.433758314395,5.25111452266048e-13,9.39479505990807e-10,ARSJ,12.27974850999
4.93335401739847,3.44734730172119,76.9077264168378,5.62569520937951e-13,9.39479505990807e-10,HCAR3,12.2498238008715
3.35149590281406,2.68449784448548,76.3227372629829,5.86273422124836e-13,9.39479505990807e-10,TFPI2,12.2318997934941
4.60307102136502,3.37408583147903,75.2679787057089,6.29831458184963e-13,9.39479505990807e-10,SLC6A14,12.200775651456
3.94097190357216,3.61568351881658,82.1952883392641,8.9738563499443e-13,1.22702529158238e-09,FPR1,12.047020886767
2.08167752153317,2.67934199363924,88.2438318565349,1.0923801076613e-12,1.37875175434667e-09,MAP3K20-AS1,11.9616262170014
4.46533884892977,3.79203667089465,76.8242737543671,1.20733278232755e-12,1.41499402088789e-09,S100A8,11.9181730069461
3.23077634580834,2.2948679231186,71.7722781326789,2.28026624798344e-12,2.49430723979416e-09,EGFL6,11.642014441035
3.29862663296482,5.63282050005809,96.0066001793519,2.77531532749115e-12,2.84608586834217e-09,FCGR3A,11.5566876657992
2.82095305926721,2.5784731126451,71.7703686817079,3.42971193299943e-12,3.31027725862675e-09,GALNTL6,11.4647423555148
3.36464263524729,2.20362073339101,72.6748562131553,4.9889797022898e-12,4.54773216417617e-09,FCGR1BP,11.3019882629884
2.78856168620641,2.32754959866569,67.4252200625268,5.33230012807168e-12,4.60486213165264e-09,LILRA5,11.2730854143412
4.03797414142183,2.84413765171732,65.9051180043312,8.3854418300333e-12,6.87941647735932e-09,TNFAIP6,11.0764740494216
1.82775518622218,2.36073756650117,72.6095248584104,1.02433055241236e-11,8.00343604951527e-09,LILRA1,10.9895598735133
3.14860472922706,2.34658114983649,61.7228408716535,2.50397938060146e-11,1.8675133489504e-08,CLEC4E,10.6013692517108
1.03436108530809,3.87726895961923,79.3702440816067,4.16183289927241e-11,2.96901540048964e-08,P3R3URF-PIK3R3,10.3807153610251
5.79325046728334,3.59773319312208,70.7299745687507,4.5860013797104e-11,3.13529627659534e-08,AQP9,10.3385658189474
2.5358174023089,2.53859316099056,62.32718194843,5.64350508804715e-11,3.45574348642866e-08,IL20RA,10.2484510790698
3.23687065904162,2.3012654375336,59.515106997298,5.686559856995e-11,3.45574348642866e-08,SLC11A1,10.2451503850898
2.06182960332489,2.39611509587772,63.0745111341603,6.89867170943795e-11,3.90452476203748e-08,LIPM,10.1612345215517
5.15890485373385,3.36034108695171,61.7967409223408,6.90097623714572e-11,3.90452476203748e-08,DUOXA2,10.1610894680431
6.732809195499,6.18005147300363,62.9963492094049,8.11917824105141e-11,4.44064921930572e-08,MMP3,10.090487924384
2.9363839872568,3.07601969760757,64.1156232603327,9.64391575576955e-11,5.10443128131183e-08,FCN1,10.0157465920487
1.08871258436977,1.97181303708856,59.1682957527519,1.04672851493305e-10,5.36710046031921e-08,C2CD4B,9.98016594463953
2.21921065307657,4.70017798419796,72.6493107928805,1.33362934868661e-10,6.33636466926407e-08,LPL,9.87496485571725
1.52566335300459,2.63872125359291,67.8641222741749,1.35161362398978e-10,6.33636466926407e-08,ACP3,9.86914743927524
1.02671427396936,4.01808093514507,71.8314627120052,1.54814240839164e-10,6.86538395591621e-08,PIK3R3,9.81018909253296
1.42941911915982,6.04223916331449,71.064633155084,1.63885656286749e-10,7.07641012724467e-08,BACE2,9.78545905538688
1.48420008645681,5.42445476592153,68.8980980755281,2.48017913351691e-10,1.01736948056864e-07,CFI,9.60551695067041
2.90402329819784,4.80544702763796,68.7228778904829,2.859005922699e-10,1.1354409706126e-07,CXCL1,9.54378494495931
4.27182766693048,2.53029446070835,61.5391933801362,2.91332614706582e-10,1.1354409706126e-07,TREM1,9.53561089335306
4.39711935462306,3.76280871202677,55.2372484312571,3.03275731441358e-10,1.1354409706126e-07,WTAPP1,9.51816234116573
0.806505351739064,7.41725496046626,67.7629035742936,3.04481976517274e-10,1.1354409706126e-07,GLUL,9.51643840986447
2.2794816985346,2.14488740822402,52.3018910405541,3.85536750412754e-10,1.34593340441967e-07,LILRA6,9.41393421750733
3.22808802543704,1.9385692787508,61.0584940125583,4.3516209014026e-10,1.48752907812945e-07,PELATON,9.3613489459386
1.5221186825861,2.93471759912915,63.5533572470913,5.62932060832321e-10,1.88501821512994e-07,PHKA1,9.2495440161363
