NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IPPK	4520	1.7234776020050049	-0.2186292	No	
row_1	INPP5D	7324	0.64359450340271	-0.36829475	No	
row_2	ITPKB	8107	0.43002888560295105	-0.4017513	No	
row_3	INPPL1	8874	0.2536850869655609	-0.4400741	No	
row_4	SYNJ1	10060	0.02995172329246998	-0.51136875	No	
row_5	INPP5B	11218	-0.18964776396751404	-0.5756647	No	
row_6	ITPKC	13093	-0.8877652287483215	-0.6605704	No	
row_7	INPP5K	14059	-1.6099166870117188	-0.666101	Yes	
row_8	INPP5A	14132	-1.6807713508605957	-0.6148097	Yes	
row_9	OCRL	14306	-1.8426016569137573	-0.5643182	Yes	
row_10	ITPKA	14354	-1.8986445665359497	-0.5042838	Yes	
row_11	ITPK1	14537	-2.072113513946533	-0.44673765	Yes	
row_12	IPMK	15197	-2.9683876037597656	-0.38859603	Yes	
row_13	INPP5J	16040	-4.944350719451904	-0.27615473	Yes	
row_14	SYNJ2	16395	-9.009485244750977	7.319847E-4	Yes	
