NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCD2	5830	1.1534340381622314	-0.32167947	No	
row_1	ABCA3	9346	0.15760529041290283	-0.53147006	No	
row_2	ABCA7	9415	0.14336395263671875	-0.5313947	No	
row_3	PEX19	9633	0.0996696874499321	-0.5416965	No	
row_4	PEX3	10368	-0.018510323017835617	-0.5859291	No	
row_5	ABCA9	12547	-0.6016935110092163	-0.70107204	No	
row_6	ABCG8	14009	-1.563472032546997	-0.7441388	Yes	
row_7	ABCG5	14679	-2.2296409606933594	-0.71926296	Yes	
row_8	ABCA6	14686	-2.2412397861480713	-0.65359885	Yes	
row_9	APOA1	14783	-2.371826410293579	-0.589578	Yes	
row_10	ABCA5	15163	-2.926633834838867	-0.5264762	Yes	
row_11	ABCD3	15463	-3.423062801361084	-0.44386852	Yes	
row_12	ABCA10	15644	-3.7871673107147217	-0.34327415	Yes	
row_13	ABCD1	15649	-3.793991804122925	-0.23174174	Yes	
row_14	ABCA2	15798	-4.2011003494262695	-0.11700013	Yes	
row_15	ABCG1	16121	-5.230273723602295	0.01744747	Yes	
