NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2D1	341	6.50404167175293	0.012030613	Yes	
row_1	PSMA4	391	6.3013105392456055	0.040900733	Yes	
row_2	PSMD14	493	5.960631370544434	0.06486652	Yes	
row_3	CDC27	496	5.943527698516846	0.0948027	Yes	
row_4	PTTG1	538	5.793054580688477	0.121591836	Yes	
row_5	PSMB2	539	5.78779411315918	0.15086278	Yes	
row_6	UBE2E1	573	5.686624526977539	0.17760311	Yes	
row_7	PSMD7	647	5.51576042175293	0.20103209	Yes	
row_8	PSMC2	722	5.3663740158081055	0.22364438	Yes	
row_9	CDC20	797	5.19047212600708	0.24536707	Yes	
row_10	PSMA5	813	5.163763999938965	0.27056435	Yes	
row_11	MAD2L1	914	4.953714847564697	0.28949898	Yes	
row_12	PSMA1	934	4.925469398498535	0.3132464	Yes	
row_13	CCNA2	935	4.918108940124512	0.33811906	Yes	
row_14	UBE2S	981	4.848394870758057	0.35988596	Yes	
row_15	CCNB1	1075	4.689858436584473	0.37791446	Yes	
row_16	PSMD1	1146	4.557597637176514	0.3966812	Yes	
row_17	PSMD11	1281	4.329485893249512	0.41037872	Yes	
row_18	CDK1	1288	4.323304653167725	0.43187615	Yes	
row_19	PSMC4	1327	4.273473262786865	0.45116377	Yes	
row_20	PSMB6	1416	4.183445930480957	0.46693704	Yes	
row_21	UBE2C	1433	4.16300630569458	0.48701194	Yes	
row_22	PSMD12	1532	4.029582500457764	0.5013953	Yes	
row_23	PSMA7	1568	3.9793589115142822	0.51937896	Yes	
row_24	PSMB1	1575	3.9713315963745117	0.53909636	Yes	
row_25	PLK1	1595	3.955296277999878	0.55793726	Yes	
row_26	PSMA3	1620	3.9212703704833984	0.5763002	Yes	
row_27	PSMB3	1654	3.8726234436035156	0.59386647	Yes	
row_28	BUB1B	1659	3.8685052394866943	0.6131861	Yes	
row_29	PSMB5	1937	3.593233346939087	0.61441135	Yes	
row_30	PSMC3	2118	3.4156930446624756	0.6206732	Yes	
row_31	NEK2	2174	3.3560690879821777	0.63428104	Yes	
row_32	PSMD3	2356	3.1930558681488037	0.6393558	Yes	
row_33	PSMD6	2393	3.1622045040130615	0.6531457	Yes	
row_34	PSMD13	2658	2.9390316009521484	0.6518577	Yes	
row_35	PSMD2	2807	2.814229965209961	0.65703547	Yes	
row_36	CDC23	2860	2.7667348384857178	0.66784644	Yes	
row_37	SEM1	3004	2.64341139793396	0.6724663	Yes	
row_38	ANAPC10	3051	2.6099789142608643	0.68285155	Yes	
row_39	PSMA6	3393	2.364147186279297	0.67394525	Yes	
row_40	PSMA2	3432	2.334639072418213	0.68342745	Yes	
row_41	UBA52	3525	2.273361921310425	0.68929607	Yes	
row_42	ADRM1	3599	2.2201671600341797	0.69605803	Yes	
row_43	ANAPC15	4319	1.8215570449829102	0.6612813	No	
row_44	PSMC6	4372	1.7980318069458008	0.6671932	No	
row_45	ANAPC11	4403	1.783818006515503	0.67437917	No	
row_46	PSMB7	4891	1.5387182235717773	0.652366	No	
row_47	BUB3	5639	1.221635341644287	0.61284214	No	
row_48	PSMC1	5869	1.1406261920928955	0.6046003	No	
row_49	ANAPC7	6082	1.0567971467971802	0.5969746	No	
row_50	PSMD8	6085	1.056144118309021	0.60219353	No	
row_51	ANAPC1	6123	1.0451112985610962	0.6052153	No	
row_52	RPS27A	6240	0.9999638199806213	0.6031755	No	
row_53	PSMB4	6507	0.9117080569267273	0.59151226	No	
row_54	PSMC5	7736	0.5253816843032837	0.51903933	No	
row_55	ANAPC16	8160	0.41696253418922424	0.49526855	No	
row_56	CDC16	9195	0.18581412732601166	0.43294737	No	
row_57	CDC26	9454	0.13430269062519073	0.41784194	No	
row_58	ANAPC5	9771	0.0764634758234024	0.3988955	No	
row_59	UBC	9892	0.059244055300951004	0.39185342	No	
row_60	ANAPC4	11802	-0.34778186678886414	0.27681816	No	
row_61	UBB	11958	-0.39291083812713623	0.26932222	No	
row_62	ANAPC2	12422	-0.5556136965751648	0.24380545	No	
