NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	0	15.353926658630371	0.043623555	Yes	
row_1	MMP3	28	10.090487480163574	0.07063639	Yes	
row_2	IL1B	50	9.07958698272705	0.09514512	Yes	
row_3	CXCL6	54	9.012626647949219	0.120567754	Yes	
row_4	CXCL5	73	8.523721694946289	0.14368118	Yes	
row_5	XBP1	77	8.48234748840332	0.16759719	Yes	
row_6	CARD16	91	8.245864868164062	0.19022788	Yes	
row_7	CXCL10	113	7.983046054840088	0.2116211	Yes	
row_8	SERPINE1	154	7.574994087219238	0.23068948	Yes	
row_9	LYN	189	7.327980995178223	0.2494241	Yes	
row_10	LILRB2	199	7.246901988983154	0.2694619	Yes	
row_11	WNT5A	205	7.221928596496582	0.28967413	Yes	
row_12	CCL2	289	6.723600387573242	0.3036858	Yes	
row_13	GSTP1	392	6.297926425933838	0.31532258	Yes	
row_14	PF4V1	410	6.220463275909424	0.33195332	Yes	
row_15	TLR4	546	5.752687454223633	0.34001666	Yes	
row_16	NOD2	566	5.699104309082031	0.35504344	Yes	
row_17	IL1A	582	5.6702561378479	0.37023363	Yes	
row_18	RHOA	625	5.56580114364624	0.3834708	Yes	
row_19	CD14	658	5.4866485595703125	0.3970965	Yes	
row_20	CD274	664	5.4732255935668945	0.41234034	Yes	
row_21	CXCL9	669	5.452859878540039	0.42758763	Yes	
row_22	JAK2	683	5.435083389282227	0.4422323	Yes	
row_23	IL6	753	5.2969207763671875	0.45304933	Yes	
row_24	LY96	763	5.268840789794922	0.46746707	Yes	
row_25	HCK	791	5.204188346862793	0.48059696	Yes	
row_26	IRAK3	827	5.135908603668213	0.4930421	Yes	
row_27	CASP1	920	4.945536136627197	0.5014499	Yes	
row_28	TICAM2	967	4.872064113616943	0.51247066	Yes	
row_29	CD86	993	4.827892780303955	0.5246541	Yes	
row_30	MYD88	1143	4.567965030670166	0.5284926	Yes	
row_31	PDE4B	1153	4.543957710266113	0.5408508	Yes	
