NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPA	830	5.126217365264893	0.014441721	No	
row_1	DNAJC7	2914	2.720691204071045	-0.078155056	No	
row_2	ALAS1	4328	1.816710114479065	-0.14133458	No	
row_3	EHHADH	4626	1.6652172803878784	-0.13831463	No	
row_4	SMC1A	6752	0.826694130897522	-0.2575305	No	
row_5	ABCC3	8499	0.33395013213157654	-0.35986945	No	
row_6	FOXO1	9470	0.1310044378042221	-0.41741693	No	
row_7	NCOA1	11152	-0.17565225064754486	-0.5177986	No	
row_8	SULT2A1	11650	-0.30238214135169983	-0.5442963	No	
row_9	NCOA6	12884	-0.7682357430458069	-0.60980463	No	
row_10	CYP2C9	13747	-1.3497406244277954	-0.64528054	No	
row_11	SP1	14243	-1.7905423641204834	-0.6527553	Yes	
row_12	CYP2B6	14350	-1.8964883089065552	-0.6351389	Yes	
row_13	SULT1A1	14617	-2.1586456298828125	-0.6239597	Yes	
row_14	CYP3A4	15436	-3.3673088550567627	-0.63112503	Yes	
row_15	PPARGC1A	15498	-3.4792284965515137	-0.5906596	Yes	
row_16	CYP2C19	15515	-3.5094802379608154	-0.54706305	Yes	
row_17	CYP4A11	15925	-4.5442070960998535	-0.5143144	Yes	
row_18	UGT1A9	16022	-4.855074882507324	-0.45851114	Yes	
row_19	UGT1A1	16048	-4.957515716552734	-0.39707276	Yes	
row_20	NR1I3	16059	-4.993757247924805	-0.33425847	Yes	
row_21	UGT1A4	16062	-4.9986724853515625	-0.2708934	Yes	
row_22	UGT1A3	16074	-5.031949996948242	-0.20765504	Yes	
row_23	ABCB1	16195	-5.603907108306885	-0.14380603	Yes	
row_24	ABCC2	16220	-5.741731643676758	-0.07234643	Yes	
row_25	RXRA	16311	-6.5901594161987305	0.005860067	Yes	
