NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5D	7324	0.64359450340271	-0.4228021	No	
row_1	ITPKB	8107	0.43002888560295105	-0.4544868	No	
row_2	INPPL1	8874	0.2536850869655609	-0.49176425	No	
row_3	MINPP1	9897	0.058244407176971436	-0.5519383	No	
row_4	SYNJ1	10060	0.02995172329246998	-0.5607049	No	
row_5	INPP5B	11218	-0.18964776396751404	-0.62421936	No	
row_6	PTEN	11981	-0.3984934389591217	-0.6558587	No	
row_7	ITPKC	13093	-0.8877652287483215	-0.6905622	Yes	
row_8	INPP5K	14059	-1.6099166870117188	-0.68945926	Yes	
row_9	INPP5A	14132	-1.6807713508605957	-0.63124245	Yes	
row_10	OCRL	14306	-1.8426016569137573	-0.5731587	Yes	
row_11	ITPKA	14354	-1.8986445665359497	-0.50530106	Yes	
row_12	IPMK	15197	-2.9683876037597656	-0.4460917	Yes	
row_13	INPP5J	16040	-4.944350719451904	-0.31327754	Yes	
row_14	SYNJ2	16395	-9.009485244750977	7.320648E-4	Yes	
