NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCT	4292	1.8331629037857056	-0.21076946	No	
row_1	CHIT1	4995	1.491830825805664	-0.2120276	No	
row_2	RSC1A1	9957	0.047585856169462204	-0.5133677	No	
row_3	CEL	10457	-0.03257447108626366	-0.54290354	No	
row_4	SLC5A1	13012	-0.8398228883743286	-0.6753189	No	
row_5	AMY2A	13784	-1.3738480806350708	-0.6840742	Yes	
row_6	PIR	13969	-1.5297654867172241	-0.6526726	Yes	
row_7	SLC2A5	14140	-1.6849465370178223	-0.6160927	Yes	
row_8	SI	14288	-1.8305950164794922	-0.574051	Yes	
row_9	ALPI	14373	-1.919463038444519	-0.5256895	Yes	
row_10	PNLIPRP2	14423	-1.9697245359420776	-0.47379202	Yes	
row_11	AMY2B	14541	-2.0755207538604736	-0.42309517	Yes	
row_12	MGAM	15432	-3.3638510704040527	-0.38365868	Yes	
row_13	TREH	15506	-3.4959607124328613	-0.2906965	Yes	
row_14	GUCA2A	15530	-3.5361785888671875	-0.19356316	Yes	
row_15	GUCY2C	15539	-3.547045946121216	-0.09521189	Yes	
row_16	GUCA2B	16142	-5.315104007720947	0.016167374	Yes	
