NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD17B10	1655	3.872283458709717	-0.061357647	No	
row_1	ACOX3	2197	3.3337182998657227	-0.060161665	No	
row_2	HSD17B4	3700	2.1580591201782227	-0.1297858	No	
row_3	EHHADH	4626	1.6652172803878784	-0.16920836	No	
row_4	ABCD2	5830	1.1534340381622314	-0.23088242	No	
row_5	GCDH	6313	0.9747368693351746	-0.25032482	No	
row_6	IVD	6438	0.9350146651268005	-0.24829417	No	
row_7	MCAT	6637	0.8647782802581787	-0.25150833	No	
row_8	ACOXL	7404	0.621290922164917	-0.29194164	No	
row_9	SLC25A17	7571	0.5719223022460938	-0.29620978	No	
row_10	DECR1	9618	0.10253480076789856	-0.42020947	No	
row_11	PEX2	9659	0.09586139023303986	-0.42166907	No	
row_12	ACAA2	9739	0.08250750601291656	-0.42564964	No	
row_13	MTLN	9744	0.08213214576244354	-0.42505002	No	
row_14	ECHDC1	9875	0.06217347830533981	-0.43235675	No	
row_15	CPT2	11467	-0.25694960355758667	-0.5269594	No	
row_16	ETFA	11993	-0.40132448077201843	-0.5549233	No	
row_17	ETFB	12237	-0.4843493402004242	-0.56479776	No	
row_18	ECHS1	13008	-0.8376345038414001	-0.60325205	No	
row_19	ABCD4	13211	-0.9486827850341797	-0.6058484	No	
row_20	PPARD	13345	-1.0461128950119019	-0.603226	No	
row_21	SCP2	13490	-1.1572757959365845	-0.6001335	No	
row_22	DECR2	13844	-1.4253259897232056	-0.6070603	Yes	
row_23	AMACR	13910	-1.4831125736236572	-0.59579045	Yes	
row_24	CROT	14179	-1.723680019378662	-0.59445566	Yes	
row_25	ACOX1	14372	-1.9178979396820068	-0.5864796	Yes	
row_26	HADHB	14459	-1.9982492923736572	-0.57119894	Yes	
row_27	HADHA	14581	-2.126908302307129	-0.55673516	Yes	
row_28	HADH	14646	-2.1919362545013428	-0.5381192	Yes	
row_29	ACADS	14788	-2.375009775161743	-0.522328	Yes	
row_30	ACADVL	14821	-2.422414779663086	-0.4993874	Yes	
row_31	ACAD11	14979	-2.6683642864227295	-0.4815592	Yes	
row_32	ECI2	15116	-2.866802215576172	-0.46040797	Yes	
row_33	SLC27A2	15307	-3.16532564163208	-0.4394892	Yes	
row_34	BDH2	15333	-3.200420618057251	-0.40812477	Yes	
row_35	ACOT8	15373	-3.281374454498291	-0.37678403	Yes	
row_36	ETFDH	15390	-3.3015456199645996	-0.3438302	Yes	
row_37	ACADM	15429	-3.356822967529297	-0.3116529	Yes	
row_38	ABCD3	15463	-3.423062801361084	-0.27848923	Yes	
row_39	ACAD10	15495	-3.4756977558135986	-0.24466237	Yes	
row_40	AUH	15597	-3.685755491256714	-0.21295509	Yes	
row_41	CRAT	15645	-3.788337469100952	-0.17689298	Yes	
row_42	ABCD1	15649	-3.793991804122925	-0.13808344	Yes	
row_43	ECI1	15746	-4.064499855041504	-0.102178	Yes	
row_44	ACAA1	15787	-4.173076629638672	-0.06173388	Yes	
row_45	ECHDC2	16016	-4.834489345550537	-0.0259828	Yes	
row_46	ACOX2	16019	-4.847459316253662	0.023714911	Yes	
