NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCCB	1492	4.084297180175781	-0.06592802	No	
row_1	HSD17B10	1655	3.872283458709717	-0.05175478	No	
row_2	ABHD2	2014	3.5039916038513184	-0.051871568	No	
row_3	ACOT7	2056	3.4706883430480957	-0.03278936	No	
row_4	ACOX3	2197	3.3337182998657227	-0.020619886	No	
row_5	LPIN1	2321	3.2176196575164795	-0.008131987	No	
row_6	HSD17B4	3700	2.1580591201782227	-0.079064816	No	
row_7	PLA2G15	4038	1.964055061340332	-0.0874764	No	
row_8	ABHD1	4066	1.9495288133621216	-0.077000715	No	
row_9	EHHADH	4626	1.6652172803878784	-0.100861914	No	
row_10	PEX13	5206	1.4020508527755737	-0.12758471	No	
row_11	PCCA	5332	1.346605896949768	-0.12685937	No	
row_12	NUDT8	5347	1.3381744623184204	-0.119391255	No	
row_13	ABCD2	5830	1.1534340381622314	-0.1417226	No	
row_14	GCDH	6313	0.9747368693351746	-0.16516566	No	
row_15	IVD	6438	0.9350146651268005	-0.16693974	No	
row_16	MCAT	6637	0.8647782802581787	-0.17368092	No	
row_17	ACOXL	7404	0.621290922164917	-0.21670885	No	
row_18	SLC25A17	7571	0.5719223022460938	-0.22331299	No	
row_19	DECR1	9618	0.10253480076789856	-0.3479276	No	
row_20	PEX2	9659	0.09586139023303986	-0.34977996	No	
row_21	MCEE	9692	0.09105349332094193	-0.35117248	No	
row_22	ACAA2	9739	0.08250750601291656	-0.3534752	No	
row_23	MTLN	9744	0.08213214576244354	-0.3532091	No	
row_24	ECHDC1	9875	0.06217347830533981	-0.3607807	No	
row_25	ABHD3	10522	-0.04430059716105461	-0.40005207	No	
row_26	CPT2	11467	-0.25694960355758667	-0.45624352	No	
row_27	ETFA	11993	-0.40132448077201843	-0.48588634	No	
row_28	ETFB	12237	-0.4843493402004242	-0.4977491	No	
row_29	LPIN2	12467	-0.5725126266479492	-0.5082063	No	
row_30	NUDT7	12985	-0.8252506256103516	-0.53472203	No	
row_31	ECHS1	13008	-0.8376345038414001	-0.5308577	No	
row_32	ABCD4	13211	-0.9486827850341797	-0.5373217	No	
row_33	PPARD	13345	-1.0461128950119019	-0.53895557	No	
row_34	NUDT19	13398	-1.0853993892669678	-0.5353863	No	
row_35	SCP2	13490	-1.1572757959365845	-0.53375745	No	
row_36	DECR2	13844	-1.4253259897232056	-0.5465001	No	
row_37	AMACR	13910	-1.4831125736236572	-0.54125243	No	
row_38	CROT	14179	-1.723680019378662	-0.5469354	Yes	
row_39	PCK2	14215	-1.7663804292678833	-0.53808886	Yes	
row_40	ADTRP	14270	-1.8134387731552124	-0.53011274	Yes	
row_41	ACOX1	14372	-1.9178979396820068	-0.524364	Yes	
row_42	PCK1	14411	-1.9589515924453735	-0.51450306	Yes	
row_43	AIG1	14420	-1.9654499292373657	-0.5027652	Yes	
row_44	HADHB	14459	-1.9982492923736572	-0.49265978	Yes	
row_45	HADHA	14581	-2.126908302307129	-0.4868351	Yes	
row_46	HADH	14646	-2.1919362545013428	-0.47711638	Yes	
row_47	HACL1	14652	-2.1998660564422607	-0.46373647	Yes	
row_48	ACADS	14788	-2.375009775161743	-0.45722532	Yes	
row_49	ACADVL	14821	-2.422414779663086	-0.44411376	Yes	
row_50	ACAD11	14979	-2.6683642864227295	-0.43712434	Yes	
row_51	ILVBL	15104	-2.8476133346557617	-0.4269996	Yes	
row_52	ECI2	15116	-2.866802215576172	-0.40983778	Yes	
row_53	ACBD5	15215	-3.017899990081787	-0.39706194	Yes	
row_54	SLC27A2	15307	-3.16532564163208	-0.38294038	Yes	
row_55	BDH2	15333	-3.200420618057251	-0.3645601	Yes	
row_56	ACOT8	15373	-3.281374454498291	-0.34653324	Yes	
row_57	ETFDH	15390	-3.3015456199645996	-0.32697287	Yes	
row_58	ACADM	15429	-3.356822967529297	-0.30841538	Yes	
row_59	ABCD3	15463	-3.423062801361084	-0.28913972	Yes	
row_60	PHYH	15493	-3.4727511405944824	-0.26931006	Yes	
row_61	ACAD10	15495	-3.4756977558135986	-0.24774796	Yes	
row_62	AUH	15597	-3.685755491256714	-0.23100086	Yes	
row_63	CRAT	15645	-3.788337469100952	-0.21030977	Yes	
row_64	ABCD1	15649	-3.793991804122925	-0.1868899	Yes	
row_65	ECI1	15746	-4.064499855041504	-0.16748042	Yes	
row_66	ACAA1	15787	-4.173076629638672	-0.14396724	Yes	
row_67	LPIN3	15849	-4.3239946365356445	-0.12080073	Yes	
row_68	FAAH	15914	-4.5028533935546875	-0.096705146	Yes	
row_69	CYP4F2	16010	-4.8154144287109375	-0.07256279	Yes	
row_70	ECHDC2	16016	-4.834489345550537	-0.042792127	Yes	
row_71	ACOX2	16019	-4.847459316253662	-0.012757116	Yes	
row_72	CYP4F12	16232	-5.858672142028809	0.01071311	Yes	
