NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGP2	3415	2.347365140914917	-0.17046332	No	
row_1	UXS1	3703	2.1573643684387207	-0.15311405	No	
row_2	ABHD10	3913	2.0331478118896484	-0.13301225	No	
row_3	UGDH	6580	0.8834661841392517	-0.28142533	No	
row_4	UGT2B11	8339	0.36935582756996155	-0.38273668	No	
row_5	UGT2B15	9019	0.22022269666194916	-0.42061314	No	
row_6	UGT2B7	10965	-0.13283908367156982	-0.5371581	No	
row_7	UGT2B17	10970	-0.1349673718214035	-0.5352211	No	
row_8	UGT2A3	13926	-1.4971452951431274	-0.691353	Yes	
row_9	SLC35D2	14260	-1.8071696758270264	-0.68247	Yes	
row_10	UGT3A1	14571	-2.113464832305908	-0.6672337	Yes	
row_11	UGT1A5	15854	-4.33905553817749	-0.67534703	Yes	
row_12	UGT1A8	15909	-4.497941493988037	-0.6059553	Yes	
row_13	SLC35D1	16000	-4.773146152496338	-0.5343131	Yes	
row_14	UGT1A7	16011	-4.815967559814453	-0.45709693	Yes	
row_15	UGT1A9	16022	-4.855074882507324	-0.37924883	Yes	
row_16	UGT1A10	16047	-4.957005977630615	-0.30060786	Yes	
row_17	UGT1A1	16048	-4.957515716552734	-0.22049405	Yes	
row_18	UGT1A6	16050	-4.9580864906311035	-0.14043206	Yes	
row_19	UGT1A4	16062	-4.9986724853515625	-0.06032443	Yes	
row_20	UGT1A3	16074	-5.031949996948242	0.020320965	Yes	
