NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGM2	1083	4.674739837646484	0.02978687	No	
row_1	PGM3	3355	2.392561674118042	-0.05970316	No	
row_2	UGDH	6580	0.8834661841392517	-0.2382802	No	
row_3	UGT2B11	8339	0.36935582756996155	-0.3379602	No	
row_4	UGT2B15	9019	0.22022269666194916	-0.37486953	No	
row_5	PGM5	10202	0.007988781668245792	-0.44681844	No	
row_6	UGT2B7	10965	-0.13283908367156982	-0.4905834	No	
row_7	UGT2B17	10970	-0.1349673718214035	-0.4880598	No	
row_8	UGT2A3	13926	-1.4971452951431274	-0.6376414	No	
row_9	UGT1A5	15854	-4.33905553817749	-0.66622967	Yes	
row_10	UGT1A8	15909	-4.497941493988037	-0.5772899	Yes	
row_11	UGT1A7	16011	-4.815967559814453	-0.48469606	Yes	
row_12	UGT1A9	16022	-4.855074882507324	-0.3857485	Yes	
row_13	UGT1A10	16047	-4.957005977630615	-0.28556487	Yes	
row_14	UGT1A1	16048	-4.957515716552734	-0.18390658	Yes	
row_15	UGT1A4	16062	-4.9986724853515625	-0.08219745	Yes	
row_16	UGT1A3	16074	-5.031949996948242	0.020316081	Yes	
