NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	0	15.353926658630371	0.061167292	Yes	
row_1	CXCR2	4	13.286004066467285	0.11391284	Yes	
row_2	S100A8	13	11.918172836303711	0.16090335	Yes	
row_3	TREM1	37	9.535611152648926	0.19748461	Yes	
row_4	CXCL6	54	9.012626647949219	0.2324106	Yes	
row_5	S100A9	65	8.671302795410156	0.2663438	Yes	
row_6	CXCL5	73	8.523721694946289	0.2998726	Yes	
row_7	CXCL10	113	7.983046054840088	0.32929003	Yes	
row_8	PPIB	158	7.547509670257568	0.35666648	Yes	
row_9	CXCR1	231	7.0602850914001465	0.38038918	Yes	
row_10	CCL3	241	6.995147705078125	0.40770608	Yes	
row_11	CXCL3	243	6.993053436279297	0.435504	Yes	
row_12	CCL2	289	6.723600387573242	0.45953697	Yes	
row_13	ADGRE2	299	6.700534820556641	0.48568016	Yes	
row_14	FCER1G	300	6.698809623718262	0.512367	Yes	
row_15	CCL11	304	6.65936279296875	0.5387132	Yes	
row_16	SAA1	363	6.3975090980529785	0.5606519	Yes	
row_17	PF4V1	410	6.220463275909424	0.5826193	Yes	
row_18	PECAM1	565	5.703994274139404	0.5959229	Yes	
row_19	CXCL9	669	5.452859878540039	0.61134565	Yes	
row_20	CCL4	1147	4.5545759201049805	0.6003124	Yes	
row_21	PDE4B	1153	4.543957710266113	0.61810887	Yes	
row_22	CX3CL1	1289	4.322136402130127	0.6270696	Yes	
row_23	EMP2	1345	4.254532337188721	0.64065456	Yes	
row_24	SRP54	1348	4.253382682800293	0.6574769	Yes	
row_25	CD177	1479	4.100917339324951	0.6658622	Yes	
row_26	ANXA1	1684	3.846320629119873	0.66870666	Yes	
row_27	CCL13	1747	3.7919750213623047	0.6800207	Yes	
row_28	CCL4L2	1806	3.736823797225952	0.6913597	Yes	
row_29	TGFB2	2067	3.4647929668426514	0.68925875	Yes	
row_30	S100A12	2148	3.3817782402038574	0.6978376	Yes	
row_31	PPIA	2451	3.1188249588012695	0.6917892	Yes	
row_32	ITGB2	2533	3.042398691177368	0.6989548	Yes	
row_33	JAML	2614	2.9717626571655273	0.70590025	Yes	
row_34	CCL28	2831	2.792620897293091	0.7038129	No	
row_35	CCL8	3473	2.3067238330841064	0.6737928	No	
row_36	CKLF	3972	2.0044541358947754	0.65131575	No	
row_37	CCL24	4670	1.643972396850586	0.61522985	No	
row_38	CCL25	5178	1.4144223928451538	0.5898517	No	
row_39	PIK3CG	5459	1.2938038110733032	0.5778785	No	
row_40	PIP5K1C	5533	1.2633506059646606	0.5784461	No	
row_41	XCL1	6355	0.9587981104850769	0.53204554	No	
row_42	BSG	6738	0.8339605927467346	0.5120011	No	
row_43	PIK3CD	6977	0.7482436895370483	0.5004236	No	
row_44	JAM3	7850	0.496358186006546	0.44906116	No	
row_45	CCL22	8077	0.4362824857234955	0.4369749	No	
row_46	CCL19	9003	0.22344191372394562	0.38128322	No	
row_47	SYK	9064	0.21066586673259735	0.3784523	No	
row_48	CCL21	9089	0.2052096575498581	0.37780175	No	
row_49	IRAK4	9269	0.17185689508914948	0.36753705	No	
row_50	CXCL13	9708	0.08829004317522049	0.34109652	No	
row_51	PIKFYVE	10268	-0.002766655758023262	0.30691373	No	
row_52	GP2	11571	-0.2814231216907501	0.22839211	No	
row_53	CCL5	12304	-0.5061843395233154	0.18563254	No	
row_54	GBF1	12534	-0.5960019826889038	0.17399907	No	
row_55	LGALS3	12715	-0.6811244487762451	0.16570203	No	
row_56	SCG2	14776	-2.365039587020874	0.04911462	No	
row_57	EDN2	15160	-2.9214913845062256	0.03732537	No	
row_58	CXADR	15920	-4.53830623626709	0.00897747	No	
row_59	EDN3	16118	-5.20877742767334	0.017677901	No	
