NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR1A	6	12.360286712646484	0.021704692	Yes	
row_1	FPR1	11	12.04702091217041	0.042973068	Yes	
row_2	TNFAIP6	19	11.0764741897583	0.062323444	Yes	
row_3	MTHFD2	69	8.638285636901855	0.0747336	Yes	
row_4	STAT1	72	8.544777870178223	0.08987049	Yes	
row_5	UBE2L6	108	8.046942710876465	0.10208653	Yes	
row_6	IDO1	116	7.925397872924805	0.11580943	Yes	
row_7	IFITM3	125	7.823029041290283	0.12928794	Yes	
row_8	GBP4	147	7.611308574676514	0.14158796	Yes	
row_9	LAP3	176	7.407444477081299	0.1530929	Yes	
row_10	IRF1	178	7.37891960144043	0.16620928	Yes	
row_11	TAP1	181	7.354804992675781	0.179221	Yes	
row_12	IFI30	190	7.3049635887146	0.19177432	Yes	
row_13	CXCL11	194	7.277499198913574	0.20458642	Yes	
row_14	TRAFD1	197	7.247869491577148	0.21740718	Yes	
row_15	RIPK2	204	7.228062629699707	0.22994629	Yes	
row_16	IFITM2	207	7.207672119140625	0.24269526	Yes	
row_17	BATF2	210	7.180602550506592	0.2553959	Yes	
row_18	SOCS3	218	7.134432792663574	0.26770622	Yes	
row_19	HIF1A	244	6.991602420806885	0.2786532	Yes	
row_20	TRIM21	254	6.945303440093994	0.29050264	Yes	
row_21	CCL2	289	6.723600387573242	0.30041692	Yes	
row_22	ISG20	321	6.591318130493164	0.31027964	Yes	
row_23	NMI	343	6.486164093017578	0.32057026	Yes	
row_24	NAMPT	439	6.130239009857178	0.32566917	Yes	
row_25	SLAMF7	456	6.066017150878906	0.3355173	Yes	
row_26	BST2	464	6.04925537109375	0.34588963	Yes	
row_27	ZNFX1	504	5.923826694488525	0.35406774	Yes	
row_28	PSMB2	539	5.78779411315918	0.36231077	Yes	
row_29	IL15RA	544	5.778152942657471	0.37238362	Yes	
row_30	PSMB10	548	5.746932506561279	0.38246232	Yes	
row_31	RTP4	557	5.714386940002441	0.39217502	Yes	
row_32	P2RY14	578	5.676349639892578	0.40108097	Yes	
row_33	OASL	609	5.600385665893555	0.4092356	Yes	
row_34	CXCL9	669	5.452859878540039	0.41534123	Yes	
row_35	PML	695	5.412726402282715	0.42346856	Yes	
row_36	LATS2	696	5.410314083099365	0.43313077	Yes	
row_37	SOCS1	713	5.380172252655029	0.44175407	Yes	
row_38	PTGS2	729	5.3566436767578125	0.4503969	Yes	
row_39	IL6	753	5.2969207763671875	0.45844054	Yes	
row_40	STAT3	754	5.292355537414551	0.4678921	Yes	
row_41	PARP14	766	5.258925914764404	0.4766067	Yes	
row_42	USP18	829	5.1282639503479	0.48194796	Yes	
row_43	FAS	843	5.106675148010254	0.49026752	Yes	
row_44	VAMP5	857	5.070828914642334	0.49852306	Yes	
row_45	SELP	956	4.885035037994385	0.50121343	Yes	
row_46	FGL2	990	4.831048011779785	0.5078094	Yes	
row_47	PLSCR1	1019	4.785002708435059	0.514631	Yes	
row_48	OAS2	1069	4.69794225692749	0.5200041	Yes	
