NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTHFD2	69	8.638285636901855	0.024712654	Yes	
row_1	XBP1	77	8.48234748840332	0.05270235	Yes	
row_2	SERP1	165	7.501327037811279	0.07250274	Yes	
row_3	STC2	172	7.449002265930176	0.09709167	Yes	
row_4	PSAT1	184	7.337518692016602	0.12100068	Yes	
row_5	CHAC1	202	7.23033332824707	0.14418289	Yes	
row_6	PDIA5	224	7.101142883300781	0.16668715	Yes	
row_7	SRPRB	247	6.979808807373047	0.18872361	Yes	
row_8	TARS1	268	6.811166286468506	0.21031763	Yes	
row_9	SEC11A	281	6.7551350593566895	0.23221418	Yes	
row_10	CCL2	289	6.723600387573242	0.2543115	Yes	
row_11	DDIT4	372	6.374021053314209	0.27064145	Yes	
row_12	SSR1	399	6.270419597625732	0.29005608	Yes	
row_13	DNAJB9	402	6.248844146728516	0.31086922	Yes	
row_14	SLC7A5	416	6.210583209991455	0.33088008	Yes	
row_15	EIF4EBP1	421	6.204678535461426	0.35142267	Yes	
row_16	EIF4A1	434	6.153163433074951	0.3713024	Yes	
row_17	BAG3	437	6.140722751617432	0.3917533	Yes	
row_18	CEBPB	441	6.1210784912109375	0.4120771	Yes	
row_19	SRPRA	487	5.96741247177124	0.4293122	Yes	
row_20	HYOU1	591	5.6416707038879395	0.44190162	Yes	
row_21	H2AX	721	5.368647575378418	0.45198298	Yes	
row_22	YWHAZ	770	5.25330114364624	0.46664172	Yes	
row_23	EIF4E	793	5.198990821838379	0.48271188	Yes	
row_24	SLC1A4	808	5.173212051391602	0.4991859	Yes	
row_25	ATP6V0D1	847	5.094913482666016	0.5139268	Yes	
row_26	SPCS3	936	4.915704250335693	0.52500325	Yes	
row_27	WIPI1	952	4.891218185424805	0.5404712	Yes	
row_28	FKBP14	1062	4.701733589172363	0.54954386	Yes	
row_29	SPCS1	1339	4.262146472930908	0.5469096	Yes	
row_30	EIF2S1	1481	4.099137306213379	0.5520023	Yes	
row_31	ERO1A	1483	4.095299243927002	0.5656616	Yes	
row_32	EXOSC4	1517	4.048951625823975	0.57720464	Yes	
row_33	EIF4G1	1610	3.935922384262085	0.58475333	Yes	
row_34	XPOT	1626	3.907609462738037	0.5969259	Yes	
row_35	EIF4A3	1628	3.900630235671997	0.609933	Yes	
row_36	NOLC1	1633	3.8938422203063965	0.62273353	Yes	
row_37	BANF1	1656	3.8701095581054688	0.6343515	Yes	
row_38	PREB	2082	3.446643829345703	0.61985403	Yes	
row_39	SHC1	2190	3.3441381454467773	0.6245008	Yes	
