NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	50	9.07958698272705	0.022272192	Yes	
row_1	IL1RN	124	7.825967311859131	0.039632436	Yes	
row_2	RIPK2	204	7.228062629699707	0.05495522	Yes	
row_3	IKBIP	314	6.623236179351807	0.06674703	Yes	
row_4	PTPN13	319	6.597778797149658	0.08491742	Yes	
row_5	SAA1	363	6.3975090980529785	0.10013322	Yes	
row_6	PSMA4	391	6.3013105392456055	0.11606331	Yes	
row_7	PSMD14	493	5.960631370544434	0.12649703	Yes	
row_8	PSMB2	539	5.78779411315918	0.13988811	Yes	
row_9	IL1RL1	560	5.708970069885254	0.1545948	Yes	
row_10	NOD2	566	5.699104309082031	0.17019533	Yes	
row_11	IL1A	582	5.6702561378479	0.18510109	Yes	
row_12	PSMD7	647	5.51576042175293	0.19656578	Yes	
row_13	PSMC2	722	5.3663740158081055	0.20699924	Yes	
row_14	STAT3	754	5.292355537414551	0.21986738	Yes	
row_15	APP	801	5.186776161193848	0.23151945	Yes	
row_16	NKIRAS1	804	5.182258605957031	0.2458616	Yes	
row_17	PSMA5	813	5.163763999938965	0.2597836	Yes	
row_18	IRAK3	827	5.135908603668213	0.2733207	Yes	
row_19	USP18	829	5.1282639503479	0.28757355	Yes	
row_20	CASP1	920	4.945536136627197	0.29584956	Yes	
row_21	USP14	932	4.928411960601807	0.30893034	Yes	
row_22	PSMA1	934	4.925469398498535	0.32261714	Yes	
row_23	TIFA	986	4.83805513381958	0.33298874	Yes	
row_24	MYD88	1143	4.567965030670166	0.3361568	Yes	
row_25	PSMD1	1146	4.557597637176514	0.34875533	Yes	
row_26	PSMD11	1281	4.329485893249512	0.3526091	Yes	
row_27	IL18R1	1309	4.294432640075684	0.36293745	Yes	
row_28	PSMC4	1327	4.273473262786865	0.3738216	Yes	
row_29	CUL1	1332	4.268866539001465	0.3854914	Yes	
row_30	NKIRAS2	1365	4.226490020751953	0.395323	Yes	
row_31	UBE2N	1372	4.217363357543945	0.40672618	Yes	
row_32	PSMB6	1416	4.183445930480957	0.41576198	Yes	
row_33	PSMD12	1532	4.029582500457764	0.4199457	Yes	
