NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	50	9.07958698272705	0.027684305	Yes	
row_1	IL1RN	124	7.825967311859131	0.04971256	Yes	
row_2	RIPK2	204	7.228062629699707	0.06934795	Yes	
row_3	IKBIP	314	6.623236179351807	0.08509535	Yes	
row_4	SAA1	363	6.3975090980529785	0.10381877	Yes	
row_5	PSMA4	391	6.3013105392456055	0.1235041	Yes	
row_6	PSMD14	493	5.960631370544434	0.13749798	Yes	
row_7	PSMB2	539	5.78779411315918	0.1543404	Yes	
row_8	NOD2	566	5.699104309082031	0.17204754	Yes	
row_9	IL1A	582	5.6702561378479	0.19033147	Yes	
row_10	PSMD7	647	5.51576042175293	0.20508751	Yes	
row_11	PSMC2	722	5.3663740158081055	0.21872443	Yes	
row_12	APP	801	5.186776161193848	0.23150781	Yes	
row_13	NKIRAS1	804	5.182258605957031	0.24893619	Yes	
row_14	PSMA5	813	5.163763999938965	0.265934	Yes	
row_15	IRAK3	827	5.135908603668213	0.28253087	Yes	
row_16	USP18	829	5.1282639503479	0.2998377	Yes	
row_17	USP14	932	4.928411960601807	0.3102744	Yes	
row_18	PSMA1	934	4.925469398498535	0.3268944	Yes	
row_19	TIFA	986	4.83805513381958	0.34015238	Yes	
row_20	MYD88	1143	4.567965030670166	0.3460571	Yes	
row_21	PSMD1	1146	4.557597637176514	0.36136988	Yes	
row_22	PSMD11	1281	4.329485893249512	0.36781594	Yes	
row_23	PSMC4	1327	4.273473262786865	0.37952974	Yes	
row_24	CUL1	1332	4.268866539001465	0.39374205	Yes	
row_25	NKIRAS2	1365	4.226490020751953	0.40609387	Yes	
row_26	UBE2N	1372	4.217363357543945	0.4200091	Yes	
row_27	PSMB6	1416	4.183445930480957	0.43154064	Yes	
row_28	PSMD12	1532	4.029582500457764	0.43813607	Yes	
row_29	PSMA7	1568	3.9793589115142822	0.44946697	Yes	
row_30	PSMB1	1575	3.9713315963745117	0.46254897	Yes	
row_31	IL1R2	1616	3.9291086196899414	0.4734031	Yes	
row_32	PSMA3	1620	3.9212703704833984	0.4864995	Yes	
row_33	PSMB3	1654	3.8726234436035156	0.49759156	Yes	
row_34	IRAK1	1788	3.7545573711395264	0.5021518	Yes	
