NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	0	15.353926658630371	0.054560687	Yes	
row_1	CXCR2	4	13.286004066467285	0.10158923	Yes	
row_2	S100A8	13	11.918172836303711	0.14345096	Yes	
row_3	TREM1	37	9.535611152648926	0.17592762	Yes	
row_4	CXCL6	54	9.012626647949219	0.20697449	Yes	
row_5	S100A9	65	8.671302795410156	0.23717588	Yes	
row_6	CXCL5	73	8.523721694946289	0.26703656	Yes	
row_7	CXCL10	113	7.983046054840088	0.29301634	Yes	
row_8	PPIB	158	7.547509670257568	0.31714222	Yes	
row_9	CXCR1	231	7.0602850914001465	0.33782214	Yes	
row_10	CCL3	241	6.995147705078125	0.3621285	Yes	
row_11	CXCL3	243	6.993053436279297	0.3869173	Yes	
row_12	CCL2	289	6.723600387573242	0.40805417	Yes	
row_13	ADGRE2	299	6.700534820556641	0.4313136	Yes	
row_14	FCER1G	300	6.698809623718262	0.45511806	Yes	
row_15	CCL11	304	6.65936279296875	0.4785986	Yes	
row_16	SAA1	363	6.3975090980529785	0.49778062	Yes	
row_17	PF4V1	410	6.220463275909424	0.5170683	Yes	
row_18	CCR1	562	5.7058844566345215	0.5280976	Yes	
row_19	PECAM1	565	5.703994274139404	0.5482445	Yes	
row_20	CXCL9	669	5.452859878540039	0.561314	Yes	
row_21	IL6	753	5.2969207763671875	0.5750541	Yes	
row_22	CCL4	1147	4.5545759201049805	0.56717277	Yes	
row_23	PDE4B	1153	4.543957710266113	0.5830137	Yes	
row_24	PDGFB	1278	4.333445072174072	0.59081936	Yes	
row_25	CX3CL1	1289	4.322136402130127	0.60556585	Yes	
row_26	EMP2	1345	4.254532337188721	0.6173164	Yes	
row_27	SRP54	1348	4.253382682800293	0.6323085	Yes	
row_28	CD177	1479	4.100917339324951	0.6389204	Yes	
row_29	ANXA1	1684	3.846320629119873	0.6400961	Yes	
row_30	CCR2	1732	3.8060951232910156	0.65074307	Yes	
row_31	CCL13	1747	3.7919750213623047	0.66336066	Yes	
row_32	CCL4L2	1806	3.736823797225952	0.67308784	Yes	
row_33	TGFB2	2067	3.4647929668426514	0.6694785	Yes	
row_34	S100A12	2148	3.3817782402038574	0.67659676	Yes	
row_35	PPIA	2451	3.1188249588012695	0.66918606	Yes	
row_36	ITGB2	2533	3.042398691177368	0.67503715	Yes	
row_37	JAML	2614	2.9717626571655273	0.68069845	Yes	
row_38	CCL28	2831	2.792620897293091	0.6773949	No	
row_39	CCL8	3473	2.3067238330841064	0.646339	No	
row_40	PTPRO	3944	2.014958381652832	0.6247179	No	
row_41	CKLF	3972	2.0044541358947754	0.63018733	No	
row_42	KIT	4095	1.9353348016738892	0.62959373	No	
row_43	RPS19	4645	1.656701683998108	0.6018618	No	
row_44	CCL24	4670	1.643972396850586	0.606234	No	
row_45	CCL25	5178	1.4144223928451538	0.580213	No	
row_46	PIK3CG	5459	1.2938038110733032	0.56766427	No	
row_47	PIP5K1C	5533	1.2633506059646606	0.56768334	No	
row_48	XCL1	6355	0.9587981104850769	0.5208149	No	
row_49	BSG	6738	0.8339605927467346	0.5003858	No	
row_50	CCR7	6951	0.7553987503051758	0.49008796	No	
row_51	PIK3CD	6977	0.7482436895370483	0.4912159	No	
row_52	CHGA	7646	0.5508184432983398	0.45226696	No	
row_53	JAM3	7850	0.496358186006546	0.4415997	No	
row_54	CTSG	7960	0.46493977308273315	0.43657705	No	
row_55	CCL22	8077	0.4362824857234955	0.4310239	No	
row_56	TNFSF11	8720	0.28821277618408203	0.39273393	No	
row_57	CCL19	9003	0.22344191372394562	0.3762591	No	
row_58	SYK	9064	0.21066586673259735	0.37333348	No	
row_59	CCL21	9089	0.2052096575498581	0.37259302	No	
row_60	IRAK4	9269	0.17185689508914948	0.3622423	No	
row_61	EDNRB	9355	0.15516985952854156	0.35758856	No	
row_62	CXCL13	9708	0.08829004317522049	0.3363469	No	
row_63	PIKFYVE	10268	-0.002766655758023262	0.30212525	No	
row_64	FLT1	10512	-0.04271535575389862	0.28739643	No	
row_65	MSMP	10947	-0.1277809888124466	0.26127365	No	
row_66	SIRPA	11086	-0.16114577651023865	0.2533956	No	
row_67	CCL23	11412	-0.24049755930900574	0.2343482	No	
row_68	GP2	11571	-0.2814231216907501	0.2256728	No	
row_69	CCL5	12304	-0.5061843395233154	0.18264607	No	
row_70	GBF1	12534	-0.5960019826889038	0.17074071	No	
row_71	TNFRSF11A	12665	-0.655279278755188	0.16510846	No	
row_72	LGALS3	12715	-0.6811244487762451	0.16452825	No	
row_73	IL6R	14657	-2.20351243019104	0.053497516	No	
row_74	SCG2	14776	-2.365039587020874	0.0546758	No	
row_75	EDN2	15160	-2.9214913845062256	0.04160365	No	
row_76	CXADR	15920	-4.53830623626709	0.011251801	No	
row_77	EDN3	16118	-5.20877742767334	0.017697679	No	
