NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RARB	6100	1.051829218864441	-0.3441582	No	
row_1	NR1H3	7676	0.5403246879577637	-0.42586535	No	
row_2	RORA	8534	0.32741406559944153	-0.46943516	No	
row_3	NR1D2	11707	-0.3202791213989258	-0.6544309	No	
row_4	NR1H2	11751	-0.331413596868515	-0.6482328	No	
row_5	NR3C1	12217	-0.47440314292907715	-0.6639746	No	
row_6	PGR	12607	-0.6271020174026489	-0.6710151	No	
row_7	RXRB	13198	-0.9396280646324158	-0.68199974	No	
row_8	NR2F6	13535	-1.1889852285385132	-0.6708508	No	
row_9	ESRRA	14739	-2.3052852153778076	-0.68288344	Yes	
row_10	PPARG	14752	-2.3171772956848145	-0.6219377	Yes	
row_11	RXRG	15173	-2.9420104026794434	-0.5692521	Yes	
row_12	NR5A2	15516	-3.5096912384033203	-0.49669743	Yes	
row_13	RARA	15910	-4.498745441436768	-0.4009279	Yes	
row_14	RORC	15948	-4.61083459854126	-0.2804556	Yes	
row_15	NR1I3	16059	-4.993757247924805	-0.15424445	Yes	
row_16	RXRA	16311	-6.5901594161987305	0.005856905	Yes	
