NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP27B1	174	7.447381019592285	0.07020585	No	
row_1	CYP7B1	1393	4.20082950592041	0.041431338	No	
row_2	CYP1B1	2567	3.0120158195495605	0.0025016703	No	
row_3	CYB5R3	2758	2.852393865585327	0.021859089	No	
row_4	CYB5R4	3312	2.415844440460205	0.014314558	No	
row_5	CYP4X1	4976	1.5012894868850708	-0.0709299	No	
row_6	CYP51A1	5519	1.2698400020599365	-0.09024092	No	
row_7	CYP2C8	6178	1.0256155729293823	-0.119285285	No	
row_8	CYB5B	6187	1.0229636430740356	-0.10867105	No	
row_9	CYP2E1	7884	0.48840683698654175	-0.2069237	No	
row_10	CYP27C1	10806	-0.09605352580547333	-0.38423017	No	
row_11	CYP20A1	11837	-0.3579932451248169	-0.44323394	No	
row_12	CYP2W1	11845	-0.3611679673194885	-0.43974143	No	
row_13	CYP2C9	13747	-1.3497406244277954	-0.54116243	No	
row_14	CYP2B6	14350	-1.8964883089065552	-0.55733556	No	
row_15	POR	14842	-2.445282459259033	-0.56077504	Yes	
row_16	CYP4F11	14960	-2.635496139526367	-0.5393145	Yes	
row_17	CYP27A1	15181	-2.947758197784424	-0.5207538	Yes	
row_18	CYP3A4	15436	-3.3673088550567627	-0.49971545	Yes	
row_19	CYP2R1	15466	-3.4265494346618652	-0.4642962	Yes	
row_20	CYP2C19	15515	-3.5094802379608154	-0.42913693	Yes	
row_21	CYP4V2	15710	-3.9605915546417236	-0.39799595	Yes	
row_22	CYP2J2	15831	-4.282369136810303	-0.35884434	Yes	
row_23	CYP4A11	15925	-4.5442070960998535	-0.3152023	Yes	
row_24	CYP4F3	15931	-4.559528827667236	-0.26602092	Yes	
row_25	CYP3A7	15993	-4.744991779327393	-0.21824585	Yes	
row_26	CYP4F2	16010	-4.8154144287109375	-0.16695885	Yes	
row_27	CYP2U1	16223	-5.771622657775879	-0.11726096	Yes	
row_28	CYP4F12	16232	-5.858672142028809	-0.05416255	Yes	
row_29	CYP2S1	16253	-5.969210624694824	0.009402897	Yes	
