NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOX3	2197	3.3337182998657227	-0.07548529	No	
row_1	HSD17B4	3700	2.1580591201782227	-0.1292194	No	
row_2	EHHADH	4626	1.6652172803878784	-0.15640259	No	
row_3	ACOXL	7404	0.621290922164917	-0.31495687	No	
row_4	SLC25A17	7571	0.5719223022460938	-0.31503552	No	
row_5	PECR	11087	-0.16122303903102875	-0.52671427	No	
row_6	NUDT7	12985	-0.8252506256103516	-0.62797946	No	
row_7	NUDT19	13398	-1.0853993892669678	-0.63404614	No	
row_8	DECR2	13844	-1.4253259897232056	-0.6361523	Yes	
row_9	AMACR	13910	-1.4831125736236572	-0.6140523	Yes	
row_10	CROT	14179	-1.723680019378662	-0.6001128	Yes	
row_11	HACL1	14652	-2.1998660564422607	-0.5902536	Yes	
row_12	ACBD5	15215	-3.017899990081787	-0.5715093	Yes	
row_13	SLC27A2	15307	-3.16532564163208	-0.5214299	Yes	
row_14	ACOT8	15373	-3.281374454498291	-0.46772406	Yes	
row_15	PHYH	15493	-3.4727511405944824	-0.41395018	Yes	
row_16	CRAT	15645	-3.788337469100952	-0.35658252	Yes	
row_17	ABCD1	15649	-3.793991804122925	-0.29008335	Yes	
row_18	ACOT4	15725	-4.002331733703613	-0.22431648	Yes	
row_19	ACAA1	15787	-4.173076629638672	-0.15469423	Yes	
row_20	ACOX2	16019	-4.847459316253662	-0.08359392	Yes	
row_21	ACBD4	16265	-6.099978446960449	0.008665954	Yes	
