NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LILRA5	18	11.273085594177246	0.049161654	Yes	
row_1	LPL	31	9.874964714050293	0.092456564	Yes	
row_2	MEFV	63	8.721242904663086	0.12944537	Yes	
row_3	IFNG	86	8.28957462310791	0.16506	Yes	
row_4	LGALS9	89	8.264431953430176	0.20178576	Yes	
row_5	GBP5	99	8.122886657714844	0.23745228	Yes	
row_6	LILRA2	121	7.852235317230225	0.27117813	Yes	
row_7	TRIM16	169	7.470638275146484	0.30161235	Yes	
row_8	RIPK2	204	7.228062629699707	0.33176014	Yes	
row_9	WNT5A	205	7.221928596496582	0.3639601	Yes	
row_10	CCL3	241	6.995147705078125	0.39300823	Yes	
row_11	TMED10	258	6.912938117980957	0.4228519	Yes	
row_12	TLR8	315	6.621413707733154	0.44894928	Yes	
row_13	NLRC4	320	6.591856479644775	0.47809532	Yes	
row_14	SAA1	363	6.3975090980529785	0.5040507	Yes	
row_15	TYROBP	526	5.856318473815918	0.5202536	Yes	
row_16	TLR4	546	5.752687454223633	0.5447406	Yes	
row_17	NOD2	566	5.699104309082031	0.5689888	Yes	
row_18	CLEC7A	655	5.493969917297363	0.5881021	Yes	
row_19	JAK2	683	5.435083389282227	0.6106838	Yes	
row_20	IL6	753	5.2969207763671875	0.63008064	Yes	
row_21	STAT3	754	5.292355537414551	0.65367734	Yes	
row_22	APP	801	5.186776161193848	0.67398983	Yes	
row_23	CASP1	920	4.945536136627197	0.68882304	Yes	
row_24	MYD88	1143	4.567965030670166	0.69561195	Yes	
row_25	NLRP12	1246	4.387818336486816	0.7089371	Yes	
row_26	NLRP3	1977	3.5457003116607666	0.68009776	No	
row_27	RELA	2026	3.491771936416626	0.6927305	No	
row_28	TMEM106A	2802	2.8200125694274902	0.6579033	No	
row_29	PANX1	2923	2.715100049972534	0.6626695	No	
row_30	HMGB1	2946	2.694959878921509	0.6733398	No	
row_31	IFI16	3016	2.6332290172576904	0.6808602	No	
row_32	EGR1	3158	2.5277225971221924	0.68350655	No	
row_33	P2RX7	3941	2.0185840129852295	0.64467794	No	
row_34	CASP8	4272	1.8426315784454346	0.63271004	No	
row_35	PYCARD	4446	1.7601743936538696	0.629977	No	
row_36	NLRP2	4701	1.6284265518188477	0.6217024	No	
row_37	TNF	4983	1.4978327751159668	0.61119413	No	
row_38	NAIP	6179	1.0254591703414917	0.5426776	No	
row_39	HSPB1	6210	1.0116958618164062	0.54535353	No	
row_40	IL17A	6575	0.8859291076660156	0.52704054	No	
row_41	GSDMD	6757	0.8255347609519958	0.519651	No	
row_42	AIM2	7112	0.7041521668434143	0.50113916	No	
row_43	IL16	7662	0.5454386472702026	0.46999308	No	
row_44	MALT1	8008	0.45350387692451477	0.45091417	No	
row_45	CARD8	8348	0.3674641251564026	0.4318186	No	
row_46	TLR6	8511	0.3323802947998047	0.42339233	No	
row_47	ISL1	8843	0.26262596249580383	0.40431863	No	
row_48	AGER	8898	0.24879249930381775	0.40212515	No	
row_49	NLRP1	8952	0.2358746975660324	0.39993525	No	
row_50	CCL19	9003	0.22344191372394562	0.39787337	No	
row_51	S100A13	9456	0.13411329686641693	0.3708261	No	
row_52	STMP1	10351	-0.016233054921030998	0.31621957	No	
row_53	F2RL1	11362	-0.22494733333587646	0.25544882	No	
row_54	USP50	11753	-0.3316646218299866	0.23307438	No	
row_55	FZD5	14976	-2.6653904914855957	0.047894172	No	
row_56	INAVA	15157	-2.918078899383545	0.049895644	No	
row_57	CD36	16247	-5.942558765411377	0.009785841	No	
