NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJC7	2914	2.720691204071045	-0.13902056	No	
row_1	SRPX2	3838	2.074619770050049	-0.16575684	No	
row_2	ABCC3	8499	0.33395013213157654	-0.4453657	No	
row_3	FOXO1	9470	0.1310044378042221	-0.50269055	No	
row_4	NCOA1	11152	-0.17565225064754486	-0.60276663	No	
row_5	SULT2A1	11650	-0.30238214135169983	-0.6287829	No	
row_6	CYP2C9	13747	-1.3497406244277954	-0.73743874	No	
row_7	CYP2B6	14350	-1.8964883089065552	-0.74712694	Yes	
row_8	SRC	14799	-2.3916690349578857	-0.74035496	Yes	
row_9	CYP3A4	15436	-3.3673088550567627	-0.7311406	Yes	
row_10	PPARGC1A	15498	-3.4792284965515137	-0.6852412	Yes	
row_11	CYP2C19	15515	-3.5094802379608154	-0.63616437	Yes	
row_12	CYP3A7	15993	-4.744991779327393	-0.59759825	Yes	
row_13	UGT1A9	16022	-4.855074882507324	-0.5300624	Yes	
row_14	UGT1A1	16048	-4.957515716552734	-0.46088237	Yes	
row_15	UGT1A4	16062	-4.9986724853515625	-0.3903831	Yes	
row_16	UGT1A3	16074	-5.031949996948242	-0.31928712	Yes	
row_17	ABCB1	16195	-5.603907108306885	-0.24668539	Yes	
row_18	ABCC2	16220	-5.741731643676758	-0.16625963	Yes	
row_19	CYP4F12	16232	-5.858672142028809	-0.08337272	Yes	
row_20	RXRA	16311	-6.5901594161987305	0.0058582826	Yes	
