NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	0	15.353926658630371	0.03143912	Yes	
row_1	S100A8	13	11.918172836303711	0.05510514	Yes	
row_2	SLC11A1	25	10.245150566101074	0.075406924	Yes	
row_3	MMP3	28	10.090487480163574	0.09594549	Yes	
row_4	IL1B	50	9.07958698272705	0.113245666	Yes	
row_5	CXCL6	54	9.012626647949219	0.13151568	Yes	
row_6	SELE	64	8.710119247436523	0.14879729	Yes	
row_7	CXCL5	73	8.523721694946289	0.16575871	Yes	
row_8	XBP1	77	8.48234748840332	0.18294291	Yes	
row_9	LGALS9	89	8.264431953430176	0.19918893	Yes	
row_10	CARD16	91	8.245864868164062	0.21601188	Yes	
row_11	CXCL10	113	7.983046054840088	0.23106676	Yes	
row_12	NOS2	122	7.8425164222717285	0.24663334	Yes	
row_13	SERPINE1	154	7.574994087219238	0.2602377	Yes	
row_14	CYP27B1	174	7.447381019592285	0.27431872	Yes	
row_15	LYN	189	7.327980995178223	0.28846273	Yes	
row_16	LILRB2	199	7.246901988983154	0.30274823	Yes	
row_17	WNT5A	205	7.221928596496582	0.31722856	Yes	
row_18	CCL2	289	6.723600387573242	0.32589176	Yes	
row_19	SNCA	386	6.320188522338867	0.33292943	Yes	
row_20	GSTP1	392	6.297926425933838	0.34551775	Yes	
row_21	PF4V1	410	6.220463275909424	0.3572095	Yes	
row_22	MAPKAPK2	479	5.994868755340576	0.36530298	Yes	
row_23	F2R	495	5.952391147613525	0.37656882	Yes	
row_24	TLR4	546	5.752687454223633	0.38527334	Yes	
row_25	NOD2	566	5.699104309082031	0.39577454	Yes	
row_26	IL1A	582	5.6702561378479	0.40646267	Yes	
row_27	RHOA	625	5.56580114364624	0.41527647	Yes	
row_28	CD14	658	5.4866485595703125	0.4245432	Yes	
row_29	CD274	664	5.4732255935668945	0.43544284	Yes	
row_30	CXCL9	669	5.452859878540039	0.44636226	Yes	
row_31	JAK2	683	5.435083389282227	0.45669183	Yes	
row_32	IL6	753	5.2969207763671875	0.46329468	Yes	
row_33	LY96	763	5.268840789794922	0.47352982	Yes	
row_34	HCK	791	5.204188346862793	0.48252565	Yes	
row_35	IRAK3	827	5.135908603668213	0.4908897	Yes	
row_36	GCH1	879	5.009870529174805	0.4980117	Yes	
row_37	CASP1	920	4.945536136627197	0.5056785	Yes	
row_38	SELP	956	4.885035037994385	0.51352876	Yes	
row_39	TICAM2	967	4.872064113616943	0.52289	Yes	
row_40	CD86	993	4.827892780303955	0.5312383	Yes	
row_41	MYD88	1143	4.567965030670166	0.53142875	Yes	
row_42	PDE4B	1153	4.543957710266113	0.5401796	Yes	
row_43	ZC3H12A	1171	4.505845546722412	0.54836047	Yes	
row_44	PDCD1LG2	1200	4.462339878082275	0.55577576	Yes	
row_45	BCL10	1206	4.449673652648926	0.56457955	Yes	
row_46	GBP2	1234	4.4065351486206055	0.5719421	Yes	
row_47	MAPKAPK3	1267	4.344944477081299	0.578871	Yes	
row_48	SLPI	1360	4.23806095123291	0.5818913	Yes	
row_49	SCARB1	1405	4.19143533706665	0.5877679	Yes	
row_50	TNIP3	1746	3.7927160263061523	0.5746251	Yes	
row_51	IRAK1	1788	3.7545573711395264	0.5797916	Yes	
row_52	SBNO2	1793	3.750369071960449	0.587225	Yes	
row_53	ACOD1	1833	3.7114529609680176	0.5924263	Yes	
row_54	NLRP3	1977	3.5457003116607666	0.5908925	Yes	
row_55	RELA	2026	3.491771936416626	0.5950905	Yes	
row_56	NOCT	2032	3.4896304607391357	0.6019285	Yes	
row_57	NLRP7	2110	3.427274465560913	0.60421103	Yes	
row_58	MTDH	2173	3.356161594390869	0.60727036	Yes	
row_59	CD80	2199	3.3319127559661865	0.6125555	Yes	
row_60	ADAM9	2247	3.292736768722534	0.61640745	Yes	
row_61	NFKB1	2258	3.2831270694732666	0.6225151	Yes	
row_62	CX3CR1	2381	3.1728599071502686	0.6215093	Yes	
row_63	HNRNPA0	2403	3.1565933227539062	0.6266814	Yes	
row_64	PLAA	2509	3.059373140335083	0.6264887	Yes	
row_65	SRR	2512	3.0575168132781982	0.63262635	Yes	
row_66	TNFRSF1B	2566	3.0122878551483154	0.63553506	Yes	
row_67	MAPK14	2690	2.9103729724884033	0.6339303	Yes	
row_68	HMGB2	2726	2.889784574508667	0.63769513	Yes	
row_69	IL10	2798	2.8217697143554688	0.6391068	Yes	
row_70	CCL28	2831	2.792620897293091	0.64285713	Yes	
row_71	LILRB1	2858	2.7675249576568604	0.6469251	Yes	
row_72	HMGB1	2946	2.694959878921509	0.6470931	Yes	
row_73	IL18	2972	2.6676697731018066	0.6510181	Yes	
row_74	CD68	3266	2.4477357864379883	0.6380116	No	
row_75	CTR9	3570	2.2403900623321533	0.6239655	No	
row_76	IFNAR1	3681	2.1726272106170654	0.6216496	No	
row_77	FER	3682	2.1725828647613525	0.6260982	No	
row_78	SELENOS	3745	2.129544973373413	0.6266459	No	
row_79	IL12A	3791	2.1020772457122803	0.6281829	No	
row_80	TRIB1	3890	2.0457143783569336	0.62634504	No	
row_81	PELI1	4170	1.8921363353729248	0.6130618	No	
row_82	PAF1	4250	1.8531510829925537	0.61199814	No	
row_83	NUGGC	4263	1.849008321762085	0.61504626	No	
row_84	VIM	4306	1.8264092206954956	0.6162032	No	
row_85	PYCARD	4446	1.7601743936538696	0.6112593	No	
row_86	AXL	4493	1.7364323139190674	0.61198604	No	
row_87	MMP9	4703	1.627586841583252	0.60246587	No	
row_88	CPS1	5204	1.4024001359939575	0.5745891	No	
row_89	CCR5	5281	1.3708072900772095	0.5727222	No	
row_90	ADAM17	5409	1.3109281063079834	0.5675964	No	
row_91	RPS6KA3	5504	1.2751177549362183	0.56442666	No	
row_92	GFI1	5740	1.188868761062622	0.55240923	No	
row_93	TAB2	5895	1.131070613861084	0.54525477	No	
row_94	MEF2C	5974	1.1000444889068604	0.5427105	No	
row_95	ZFP36	6041	1.072385549545288	0.54084754	No	
row_96	UPF1	6056	1.0662263631820679	0.5421698	No	
row_97	TNFAIP3	6058	1.0651596784591675	0.54428935	No	
row_98	NOS3	6720	0.8397848606109619	0.50535953	No	
row_99	LDOC1	6816	0.8070633411407471	0.5011699	No	
row_100	CDC73	6970	0.7496113777160645	0.49329582	No	
row_101	IRAK2	7060	0.718596339225769	0.48929402	No	
row_102	CD180	7154	0.6928792595863342	0.48499355	No	
row_103	IL23R	7310	0.6478933691978455	0.4767882	No	
row_104	NR1H3	7676	0.5403246879577637	0.45544824	No	
row_105	CTSG	7960	0.46493977308273315	0.43899667	No	
row_106	PRDX3	8057	0.44129011034965515	0.43399656	No	
row_107	STAP1	8070	0.4383206367492676	0.43415612	No	
row_108	FOXP1	8132	0.4227662980556488	0.43127048	No	
row_109	CD6	8282	0.38710781931877136	0.4229001	No	
row_110	TNFSF4	8418	0.3534570336341858	0.41532177	No	
row_111	PRKCE	8554	0.324123740196228	0.4076834	No	
row_112	PLCG2	8836	0.2640148401260376	0.39094338	No	
row_113	NFKBIB	8901	0.24822819232940674	0.38751587	No	
row_114	SMAD6	8993	0.2264414280653	0.38238332	No	
row_115	IRAK4	9269	0.17185689508914948	0.3658236	No	
row_116	CXCL13	9708	0.08829004317522049	0.33906877	No	
row_117	CASP7	9990	0.04277677834033966	0.32187575	No	
row_118	PTPN22	10004	0.04035567119717598	0.32115892	No	
row_119	GBP3	10189	0.00969044677913189	0.30986336	No	
row_120	S100A14	10307	-0.00958686787635088	0.30268785	No	
row_121	NR4A1	10720	-0.07994537055492401	0.27751485	No	
row_122	OTUD5	10827	-0.09905169904232025	0.27119902	No	
row_123	TRIM41	11182	-0.1813984215259552	0.24980056	No	
row_124	DEFA6	11383	-0.23301617801189423	0.23797834	No	
row_125	CACTIN	11507	-0.26577669382095337	0.23095843	No	
