NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUDT15	5149	1.4254392385482788	-0.28255606	No	
row_1	CYP2C8	6178	1.0256155729293823	-0.32252163	No	
row_2	TPMT	6429	0.9379938840866089	-0.31695816	No	
row_3	GSTO1	8192	0.41087034344673157	-0.4153567	No	
row_4	GSTM1	8279	0.38741162419319153	-0.41200593	No	
row_5	PRKCE	8554	0.324123740196228	-0.42153165	No	
row_6	GSTM2	11698	-0.3159991204738617	-0.6063048	No	
row_7	GSTM4	12264	-0.49268296360969543	-0.6298463	No	
row_8	CYP2C9	13747	-1.3497406244277954	-0.69032115	Yes	
row_9	GSTM3	14336	-1.8819912672042847	-0.6844308	Yes	
row_10	CYP2B6	14350	-1.8964883089065552	-0.643132	Yes	
row_11	CRYZ	14577	-2.1223511695861816	-0.60981756	Yes	
row_12	NR1I2	15338	-3.2140228748321533	-0.58485854	Yes	
row_13	CYP3A4	15436	-3.3673088550567627	-0.516041	Yes	
row_14	CYP2C19	15515	-3.5094802379608154	-0.44290859	Yes	
row_15	CYP2D6	15609	-3.7044677734375	-0.3663638	Yes	
row_16	ACAA1	15787	-4.173076629638672	-0.28454405	Yes	
row_17	CYP3A5	15992	-4.743688106536865	-0.19170727	Yes	
row_18	UGT1A7	16011	-4.815967559814453	-0.085916504	Yes	
row_19	UGT1A10	16047	-4.957005977630615	0.021967227	Yes	
