NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSM1	148	7.6049628257751465	0.019017713	No	
row_1	GSTP1	392	6.297926425933838	0.027380915	No	
row_2	AOX1	844	5.100341320037842	0.01856398	No	
row_3	FMO2	845	5.098450183868408	0.037398588	No	
row_4	CBR3	918	4.949561595916748	0.051267624	No	
row_5	NAT1	1224	4.429619312286377	0.048926678	No	
row_6	SLC29A1	1337	4.264684677124023	0.057812568	No	
row_7	ABCC1	1698	3.838080883026123	0.04991338	No	
row_8	SMOX	1725	3.8109827041625977	0.062397342	No	
row_9	ADA	1866	3.6742961406707764	0.06738507	No	
row_10	SLC29A3	2063	3.4680871963500977	0.0681767	No	
row_11	NQO1	2095	3.4412593841552734	0.0789882	No	
row_12	AHR	2121	3.413886308670044	0.090066545	No	
row_13	S100A12	2148	3.3817782402038574	0.10096495	No	
row_14	CYP1B1	2567	3.0120158195495605	0.086457156	No	
row_15	SLC28A3	2616	2.9709994792938232	0.09448887	No	
row_16	ALDH3A1	2848	2.776538610458374	0.090579346	No	
row_17	CYP26B1	3217	2.48461651802063	0.077189595	No	
row_18	ABHD10	3913	2.0331478118896484	0.042078067	No	
row_19	ABCC4	4459	1.7540009021759033	0.0151343895	No	
row_20	AKR1C1	4518	1.724359154701233	0.017947515	No	
row_21	NUDT15	5149	1.4254392385482788	-0.015422735	No	
row_22	GUK1	5208	1.4019322395324707	-0.013800713	No	
row_23	CYP2C8	6178	1.0256155729293823	-0.06943788	No	
row_24	CYB5B	6187	1.0229636430740356	-0.06614948	No	
row_25	SULT1C3	6255	0.9960147142410278	-0.06657894	No	
row_26	TPMT	6429	0.9379938840866089	-0.073723406	No	
row_27	SLCO2B1	6791	0.8131635785102844	-0.09285852	No	
row_28	CYP2E1	7884	0.48840683698654175	-0.15802348	No	
row_29	GSTO1	8192	0.41087034344673157	-0.17533307	No	
row_30	GSTM1	8279	0.38741162419319153	-0.17917603	No	
row_31	UGT2B11	8339	0.36935582756996155	-0.18142986	No	
row_32	VKORC1	8353	0.36667507886886597	-0.18087254	No	
row_33	ABCC3	8499	0.33395013213157654	-0.18853131	No	
row_34	RORA	8534	0.32741406559944153	-0.1894069	No	
row_35	PRKCE	8554	0.324123740196228	-0.18937474	No	
row_36	GSTA4	8745	0.282638281583786	-0.19998278	No	
row_37	GRIN1	8831	0.26518845558166504	-0.20421593	No	
row_38	UGT2B15	9019	0.22022269666194916	-0.21487056	No	
row_39	GSTO2	10070	0.02815200760960579	-0.27916002	No	
row_40	UGT2B7	10965	-0.13283908367156982	-0.33349574	No	
row_41	UGT2B17	10970	-0.1349673718214035	-0.33324248	No	
row_42	AOC2	11440	-0.2495211809873581	-0.3610831	No	
row_43	SULT1B1	11556	-0.2784593403339386	-0.36710703	No	
row_44	SULT2A1	11650	-0.30238214135169983	-0.3716934	No	
row_45	GSTM2	11698	-0.3159991204738617	-0.37340844	No	
row_46	CYP2W1	11845	-0.3611679673194885	-0.38102797	No	
row_47	ABCC5	12180	-0.45854395627975464	-0.3998173	No	
row_48	SLC28A2	12224	-0.4757292568683624	-0.4006969	No	
