NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AHR	2121	3.413886308670044	-0.050873395	No	
row_1	ARNT	5398	1.314106822013855	-0.22051184	No	
row_2	CYP2C8	6178	1.0256155729293823	-0.2444465	No	
row_3	CYP2E1	7884	0.48840683698654175	-0.33723256	No	
row_4	ARNT2	9617	0.10265681892633438	-0.44053897	No	
row_5	CYP2W1	11845	-0.3611679673194885	-0.56809855	No	
row_6	CYP2C9	13747	-1.3497406244277954	-0.65302986	Yes	
row_7	AHRR	13815	-1.3932275772094727	-0.62507015	Yes	
row_8	CYP2C18	14261	-1.8072980642318726	-0.6106474	Yes	
row_9	CYP2B6	14350	-1.8964883089065552	-0.5723928	Yes	
row_10	CYP3A4	15436	-3.3673088550567627	-0.56113213	Yes	
row_11	CYP2C19	15515	-3.5094802379608154	-0.48516512	Yes	
row_12	CYP2D6	15609	-3.7044677734375	-0.40562806	Yes	
row_13	CYP2J2	15831	-4.282369136810303	-0.3206072	Yes	
row_14	CYP3A5	15992	-4.743688106536865	-0.2212534	Yes	
row_15	CYP3A7	15993	-4.744991779327393	-0.112108156	Yes	
row_16	CYP2S1	16253	-5.969210624694824	0.009395435	Yes	
