NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PREGNANE X RECEPTOR PATHWAY%WIKIPATHWAYS_20250210%WP2876%HOMO SAPIENS	PREGNANE X RECEPTOR PATHWAY%WIKIPATHWAYS_20250210%WP2876%HOMO SAPIENS	Details ...	21	-0.7791662	-2.3693535	0.0	0.0	0.0	973	tags=57%, list=6%, signal=61%	
ASPIRIN ADME%REACTOME DATABASE ID RELEASE 91%9749641	ASPIRIN ADME%REACTOME DATABASE ID RELEASE 91%9749641	Details ...	28	-0.7435053	-2.3643143	0.0	3.704422E-4	0.001	1062	tags=50%, list=6%, signal=53%	
GLUCURONIDATION%REACTOME%R-HSA-156588.5	GLUCURONIDATION%REACTOME%R-HSA-156588.5	Details ...	21	-0.7454665	-2.2813034	0.0	0.0018320656	0.007	555	tags=48%, list=3%, signal=49%	
MONOCARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0072329	MONOCARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0072329	Details ...	80	-0.5601384	-2.22396	0.0	0.003529537	0.018	2230	tags=49%, list=14%, signal=56%	
ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 91%1369062	ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 91%1369062	Details ...	16	-0.7902009	-2.2114568	0.0	0.002973082	0.019	2400	tags=63%, list=15%, signal=73%	
FATTY ACID CATABOLIC PROCESS%GOBP%GO:0009062	FATTY ACID CATABOLIC PROCESS%GOBP%GO:0009062	Details ...	73	-0.5576589	-2.209343	0.0	0.0024775683	0.019	2230	tags=48%, list=14%, signal=55%	
FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	Details ...	47	-0.62170917	-2.200965	0.0	0.0026835636	0.024	2565	tags=53%, list=16%, signal=63%	
GLUCURONIDATION%WIKIPATHWAYS_20250210%WP698%HOMO SAPIENS	GLUCURONIDATION%WIKIPATHWAYS_20250210%WP698%HOMO SAPIENS	Details ...	17	-0.75520587	-2.1555338	0.0	0.00496392	0.051	555	tags=47%, list=3%, signal=49%	
XENOBIOTIC CATABOLIC PROCESS%GOBP%GO:0042178	XENOBIOTIC CATABOLIC PROCESS%GOBP%GO:0042178	Details ...	20	-0.72620106	-2.1342764	0.0	0.0065610064	0.072	2073	tags=55%, list=13%, signal=63%	
CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY%WIKIPATHWAYS_20250210%WP2875%HOMO SAPIENS	CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY%WIKIPATHWAYS_20250210%WP2875%HOMO SAPIENS	Details ...	26	-0.67549664	-2.1218963	0.0	0.007456932	0.091	2166	tags=58%, list=13%, signal=66%	
NUCLEAR RECEPTORS%WIKIPATHWAYS_20250210%WP170%HOMO SAPIENS	NUCLEAR RECEPTORS%WIKIPATHWAYS_20250210%WP170%HOMO SAPIENS	Details ...	17	-0.74424475	-2.1113167	0.0	0.007971403	0.105	1670	tags=47%, list=10%, signal=52%	
XENOBIOTIC METABOLIC PROCESS%GOBP%GO:0006805	XENOBIOTIC METABOLIC PROCESS%GOBP%GO:0006805	Details ...	102	-0.49611786	-2.07467	0.0	0.011195	0.159	2148	tags=43%, list=13%, signal=49%	
D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6364	D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6364	Details ...	15	-0.7494288	-2.0583587	0.0	0.012839353	0.192	2350	tags=47%, list=14%, signal=54%	
DIGESTION AND ABSORPTION%REACTOME%R-HSA-8963743.4	DIGESTION AND ABSORPTION%REACTOME%R-HSA-8963743.4	Details ...	17	-0.72235686	-2.0480707	0.0	0.013521916	0.21	2625	tags=71%, list=16%, signal=84%	
METAPATHWAY BIOTRANSFORMATION PHASE I AND II%WIKIPATHWAYS_20250210%WP702%HOMO SAPIENS	METAPATHWAY BIOTRANSFORMATION PHASE I AND II%WIKIPATHWAYS_20250210%WP702%HOMO SAPIENS	Details ...	98	-0.4940266	-2.0209308	0.0	0.017798424	0.29	2073	tags=38%, list=13%, signal=43%	
XENOBIOTICS%REACTOME DATABASE ID RELEASE 91%211981	XENOBIOTICS%REACTOME DATABASE ID RELEASE 91%211981	Details ...	17	-0.68407685	-2.0182734	0.0	0.017319273	0.298	2662	tags=65%, list=16%, signal=77%	
PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	Details ...	22	-0.6612035	-2.012571	0.0	0.017523617	0.321	2565	tags=64%, list=16%, signal=75%	
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	Details ...	15	-0.719437	-2.0021515	0.0	0.019283416	0.355	2350	tags=53%, list=14%, signal=62%	
FATTY ACID OXIDATION%GOBP%GO:0019395	FATTY ACID OXIDATION%GOBP%GO:0019395	Details ...	61	-0.5187146	-1.9534733	0.0	0.031739995	0.533	2230	tags=48%, list=14%, signal=55%	
