NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	Details ...	64	0.7241097	2.281899	0.0	0.0	0.0	2470	tags=59%, list=15%, signal=70%	
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 91%1236975	ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 91%1236975	Details ...	90	0.6960523	2.2704241	0.0	0.0	0.0	3599	tags=69%, list=22%, signal=88%	
CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME DATABASE ID RELEASE 91%380108	CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME DATABASE ID RELEASE 91%380108	Details ...	50	0.7495319	2.2510953	0.0	0.0	0.0	1747	tags=48%, list=11%, signal=54%	
RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0032496	RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0032496	Details ...	147	0.6510181	2.2341208	0.0	0.0	0.0	2972	tags=50%, list=18%, signal=61%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	166	0.63666314	2.2010505	0.0	0.0	0.0	2439	tags=47%, list=15%, signal=55%	
POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	Details ...	58	0.7089371	2.1992075	0.0	0.0	0.0	1246	tags=45%, list=8%, signal=48%	
ER-PHAGOSOME PATHWAY%REACTOME DATABASE ID RELEASE 91%1236974	ER-PHAGOSOME PATHWAY%REACTOME DATABASE ID RELEASE 91%1236974	Details ...	75	0.6808529	2.1870232	0.0	0.0	0.0	3599	tags=68%, list=22%, signal=87%	
INTERLEUKIN-1 SIGNALING%REACTOME DATABASE ID RELEASE 91%9020702	INTERLEUKIN-1 SIGNALING%REACTOME DATABASE ID RELEASE 91%9020702	Details ...	100	0.66249657	2.1866863	0.0	0.0	0.0	3623	tags=63%, list=22%, signal=80%	
CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0071222	CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0071222	Details ...	106	0.67330325	2.182807	0.0	0.0	0.0	2972	tags=54%, list=18%, signal=65%	
GRANULOCYTE MIGRATION%GOBP%GO:0097530	GRANULOCYTE MIGRATION%GOBP%GO:0097530	Details ...	60	0.70590025	2.1755517	0.0	0.0	0.0	2614	tags=57%, list=16%, signal=67%	
